Species,Owner,Country.of.Origin,Company,Altitude,Region,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Month,Grading.Year,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration.Month,Expiration.Year,Certification.Body
Arabica,Grounds for Health Admin,United States (Hawaii),,610,kona,"Robert, Sharon, Arianna Wood",1,1,Specialty Coffee Association,2009,May,2010,,,8.33,8.42,8.08,8.25,8.25,8,10,10,10,8.58,87.92,0,0,0,,2,May,2011,Specialty Coffee Association
Arabica,Ethiopia Commodity Exchange,Ethiopia,,1635,oromiya,Bazen Agricultural & Industrial Dev't Plc,300,60,Ethiopia Commodity Exchange,2010,August,2010,,,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5,87.83,0.05,0,0,,2,August,2011,Ethiopia Commodity Exchange
Arabica,CQI Q Coffee Sample Representative,United States,coffee quality institute,2080,antioquia,María Leticia Diosa,10,1,Almacafé,2014,March,2015,Other,Washed / Wet,8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,87.58,0,0,0,,0,March,2016,Almacafé
Arabica,Grounds for Health Admin,Indonesia,,1500,sulawesi,P.T. Toarco Jaya,1,2,Specialty Coffee Association,2009,May,2010,,,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33,87.42,0.03,0,0,,0,May,2011,Specialty Coffee Association
Arabica,Ethiopia Commodity Exchange,Ethiopia,,,yirgacheffe,Green Gold Ethiopia | Phone: 0114342032,150,6,Ethiopia Commodity Exchange,2009,June,2010,,,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83,87.33,0.05,0,0,,2,June,2011,Ethiopia Commodity Exchange
Arabica,Yunnan Coffee Exchange,China,yunnan coffee exchange,1450,yunnan,Echo Coffee,3,60,Yunnan Coffee Exchange,2015,April,2016,Catimor,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,87.25,0.1,0,0,Green,0,April,2017,Yunnan Coffee Exchange
Arabica,EssenceCoffee,Ethiopia,essence coffee,1850,gedio,LevelUp,250,60,Blossom Valley International,2014,March,2015,Ethiopian Yirgacheffe,Natural / Dry,8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,87.25,0,0,0,,8,March,2016,Blossom Valley International
Arabica,CQI Q Coffee Sample Representative,United States,coffee quality institute,2019,antioquia,Nicolás Rueda Urrego,10,1,Almacafé,2014,March,2015,Other,Washed / Wet,8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,87.25,0,0,0,None,0,March,2016,Almacafé
Arabica,The Coffee Source Inc.,Costa Rica,the coffee source inc.,1300,san ramon,SEVERAL,250,3,Specialty Coffee Association,2014,April,2014,Caturra,Washed / Wet,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,87.17,0.11,0,0,Green,2,April,2015,Specialty Coffee Association
Arabica,ROBERTO LICONA FRANCO,Mexico,,1320,xalapa,ROBERTO LICONA FRANCO,14,1,AMECAFE,2012,July,2012,Other,Washed / Wet,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,87.17,0.13,0,0,Green,0,July,2013,AMECAFE
Arabica,CQI Q Coffee Sample Representative,United States,coffee quality institute,2112,antioquia,Silvia Elena Higuita,10,1,Almacafé,2014,March,2015,Other,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,87.08,0,0,0,,0,March,2016,Almacafé
Arabica,Ji-Ae Ahn,Ethiopia,,,sidamo,,100,60,Specialty Coffee Institute of Asia,2013,September,2013,,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,87.08,0.11,0,0,Bluish-Green,1,September,2014,Specialty Coffee Institute of Asia
Arabica,NUCOFFEE,Brazil,nucoffee,1250,south of minas,Ralph Junqueira,3,60,NUCOFFEE,2011,December,2011,Bourbon,Natural / Dry,8.5,8.5,8,8,8,8,10,10,10,7.92,86.92,0.12,0,0,Green,2,December,2012,NUCOFFEE
Arabica,Ethiopia Commodity Exchange,Ethiopia,,,sidamo,Green Gold Ethiopia | Phone: 0114342032,150,6,Ethiopia Commodity Exchange,2009,June,2010,,,7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,8.25,86.92,0.05,0,0,,2,June,2011,Ethiopia Commodity Exchange
Arabica,Kabum Trading company,Uganda,kabum trading company,1950,kapchorwa eastern,Kabum trading company,100,60,Uganda Coffee Development Authority,2013,June,2014,SL14,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,86.83,0.12,0,0,Green,1,June,2015,Uganda Coffee Development Authority
Arabica,Bismarck Castro,Honduras,cigrah s.a de c.v,1400,comayagua,Reinerio Zepeda,275,69,Instituto Hondureño del Café,2016,May,2017,Caturra,,8.17,8.08,8.08,8,8.08,8,10,10,10,8.25,86.67,0.1,0,0,Green,3,May,2018,Instituto Hondureño del Café
Arabica,"Lin, Che-Hao Krude 林哲豪",Taiwan,taiwan coffee laboratory,1200,"leye, alishan township, chiayi county","FANG,ZHENG-LUN 方政倫",20,50,Specialty Coffee Association,2015,May,2016,Sumatra,Pulped natural / honey,8,8,8,8.25,8,8.17,10,10,10,8.17,86.58,0,0,0,Green,0,May,2017,Specialty Coffee Association
Arabica,Nora Zeas,Nicaragua,,,,,275,6,Specialty Coffee Association,,May,2010,,,7.92,8.25,8,8.33,8,8.08,10,10,10,8,86.58,0.08,0,0,,2,May,2011,Specialty Coffee Association
Arabica,Specialty Coffee-Korea,"Tanzania, United Republic Of",,,,,100,60,Specialty Coffee Institute of Asia,2012,September,2013,,Natural / Dry,8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,86.5,0.11,0,0,Bluish-Green,1,September,2014,Specialty Coffee Institute of Asia
Arabica,NUCOFFEE,Brazil,nucoffee,1300,vale da grama,Homero Texeira de Macedo Junior,29,60,NUCOFFEE,2011,December,2011,Bourbon,Natural / Dry,8.5,8.17,8,7.75,8,8,10,10,10,8,86.42,0.12,0,0,Green,2,December,2012,NUCOFFEE
Arabica,Francisco A Mena,Costa Rica,exclusive coffees s.a.,1300,west and central valley,Exclusive Coffees S.A.,250,2,Specialty Coffee Association of Costa Rica,2015,December,2015,Caturra,Washed / Wet,8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,86.33,0,0,0,Blue-Green,0,December,2016,Specialty Coffee Association of Costa Rica
Arabica,Hider Abamecha,Ethiopia,haider abamecha coffee export,1775,oromia,Haider Abamecha Abadiko,320,60,METAD Agricultural Development plc,2014,March,2015,,Natural / Dry,8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,86.25,0.1,0,0,Green,3,March,2016,METAD Agricultural Development plc
Arabica,Daniel Magu,Kenya,c dorman ltd,1800,muranga,Kangunu,320,1,Kenya Coffee Traders Association,2013,May,2014,SL34,Washed / Wet,8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,86.25,0.12,0,0,Blue-Green,1,May,2015,Kenya Coffee Traders Association
Arabica,Kona Pacific Farmers Cooperative,United States (Hawaii),kona pacific farmers cooperative,,kona,,10,100,Specialty Coffee Association,2012,April,2012,Hawaiian Kona,Natural / Dry,8.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33,86.25,0,1,0,,4,April,2013,Specialty Coffee Association
Arabica,Kona Pacific Farmers Cooperative,United States (Hawaii),,,kona,Kona Pacific Farmers Co-Op,25,100,Specialty Coffee Association,2010,January,2011,,,8.25,8.42,8.08,7.75,7.67,7.83,10,10,10,8.25,86.25,0,2,0,,1,January,2012,Specialty Coffee Association
Arabica,Ethiopia Commodity Exchange,Ethiopia,,,yirgacheffe,Contact name | ATO Teshome Belamo,300,6,Ethiopia Commodity Exchange,2009,June,2010,,,7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,8.17,86.25,0.1,0,0,,2,June,2011,Ethiopia Commodity Exchange
Arabica,CQI Q Coffee Sample Representative,United States,coffee quality institute,1941,antioquia,Hugo Sepúlveda Montoya,10,1,Almacafé,2014,March,2015,Other,Washed / Wet,7.67,8.17,8,8,8.17,8.08,10,10,10,8.08,86.17,0,0,0,,0,March,2016,Almacafé
Arabica,ITDP International,Thailand,lanna cafe,1300,chiang rai,ITDP,53,1,Specialty Coffee Association,2012,April,2012,Caturra,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,86.17,0.1,1,0,Green,9,April,2013,Specialty Coffee Association
Arabica,Jacques Pereira Carneiro,Brazil,,1200,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,300,60,Specialty Coffee Association,2010,January,2011,Yellow Bourbon,,8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08,86.17,0.08,0,0,,2,January,2012,Specialty Coffee Association
Arabica,Jacques Pereira Carneiro,Brazil,,1200,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,300,60,Specialty Coffee Association,2010,January,2011,Yellow Bourbon,,8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,86.17,0.01,0,0,,3,January,2012,Specialty Coffee Association
Arabica,"Lin, Che-Hao Krude 林哲豪",Taiwan,taiwan coffee laboratory,1000,natou county,LIN YEN CHIEN 林言謙,10,15,Specialty Coffee Association,2015,June,2015,Bourbon,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,86.08,0.12,0,0,Green,0,June,2016,Specialty Coffee Association
Arabica,Jungle Estate,Kenya,keremara limited,1754,nyeri,JUNGLE ESTATE,12,60,Kenya Coffee Traders Association,2014,January,2015,SL28,Natural / Dry,8.08,8.08,8,8,7.83,8.08,10,10,10,8,86.08,0.11,0,0,Bluish-Green,2,January,2016,Kenya Coffee Traders Association
Arabica,NUCOFFEE,Brazil,nucoffee,1250,south of minas,Ralph Junqueira,7,60,NUCOFFEE,2011,December,2011,Bourbon,Semi-washed / Semi-pulped,8.33,8,8,8,7.75,8,10,10,10,8,86.08,0.11,0,0,Blue-Green,2,December,2012,NUCOFFEE
Arabica,Great Lakes Coffee Uganda,Uganda,ucda,,eastern uganda,Kaasay Farmer Group,1,60,Uganda Coffee Development Authority,2014,October,2014,,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,8.08,86,0,0,0,,0,October,2015,Uganda Coffee Development Authority
Arabica,LUSSO LAB,Colombia,lusso coffee lab,1200,tolima,,1,2,Specialty Coffee Association,2013,March,2014,Caturra,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,86,0.12,1,0,Green,1,March,2015,Specialty Coffee Association
Arabica,LUSSO LAB,Kenya,lusso coffee lab,1860,kiambu,,1,1,Specialty Coffee Association,2013,February,2014,SL28,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,86,0.11,0,0,Green,1,February,2015,Specialty Coffee Association
Arabica,AFCA,Uganda,kawacom uganda ltd,1650,"sipi, mt elgon",Kawacom,1,60,Africa Fine Coffee Association,2012,February,2012,Other,Washed / Wet,8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,86,0.1,0,0,Blue-Green,0,February,2013,Africa Fine Coffee Association
Arabica,Ethiopia Commodity Exchange,Ethiopia,,1750,sidamo,Sidama Coffee Farmers Coop. Union,300,6,Ethiopia Commodity Exchange,2009,June,2010,,,7.75,8.08,8,8.25,8,8,10,10,10,7.92,86,0.01,0,0,,4,June,2011,Ethiopia Commodity Exchange
Arabica,Grounds for Health Admin,United States (Hawaii),,427,kona,Hula Daddy Kona Coffee,1,2,Specialty Coffee Association,2009,May,2010,,,8.33,8.17,7.75,8,7.75,7.83,10,10,10,8.17,86,0,0,0,,0,May,2011,Specialty Coffee Association
Arabica,Juan Luis Alvarado Romero,Guatemala,"unex guatemala, s.a.",,nuevo oriente,MARGARITA AVILA DE NUYENS,80,69,Asociacion Nacional Del Café,2016,May,2016,Bourbon,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,85.92,0.1,0,1,Green,3,May,2017,Asociacion Nacional Del Café
Arabica,Kawacom Uganda LTD,Uganda,kawacom uganda ltd,1650,eastern,Kawacom (U)Ltd,1,60,Uganda Coffee Development Authority,2013,June,2014,SL14,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,85.92,0.12,0,0,Green,0,June,2015,Uganda Coffee Development Authority
Arabica,Exportadora de Cafe Condor S.A,Colombia,exportadora de cafe condor s.a,1800,huila,,275,70,Almacafé,2013,July,2013,Caturra,Washed / Wet,8,8,8,8.17,7.83,8,10,10,10,7.92,85.92,0,1,0,Blue-Green,0,July,2014,Almacafé
Arabica,Gonzalo Hernandez,Panama,ce specialty s.a.,1600,boquete,Plinio Ruiz,37,60,Specialty Coffee Association of Costa Rica,2017,October,2017,Gesha,Washed / Wet,8,8,7.92,8.08,7.83,8,10,10,10,8,85.83,0.08,0,1,Bluish-Green,0,October,2018,Specialty Coffee Association of Costa Rica
Arabica,Ibrahim Hussien Speciality Coffee Producer &Export,Ethiopia,ibrahim hussien specality coffee product & exporter,1900,oromia,Ibrahim Hussien Specialty Coffee Producer and Exporter,320,60,METAD Agricultural Development plc,2014,April,2015,,Washed / Wet,7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,85.83,0.1,0,0,Green,4,April,2016,METAD Agricultural Development plc
Arabica,Juan Luis Alvarado Romero,Guatemala,sertrasa,1524,acatenango,SERTRASA,150,1,Asociacion Nacional Del Café,2012,July,2012,Bourbon,Washed / Wet,7.83,8,8,8.17,7.83,8,10,10,10,8,85.83,0.12,0,0,Green,3,July,2013,Asociacion Nacional Del Café
Arabica,Juan Luis Alvarado Romero,Guatemala,unicafe,1417,nuevo oriente,WILLIAM ESTUARDO MARTINEZ PACHECO,275,1,Asociacion Nacional Del Café,2012,June,2012,Catuai,Washed / Wet,8,8,7.83,8.33,7.83,7.83,10,10,10,8,85.83,0.1,0,0,Bluish-Green,1,June,2013,Asociacion Nacional Del Café
Arabica,SEID DAMTEW COFFEE PLANATAION,Ethiopia,seid damtew coffee planation,,addis ababa,seid damtew coffee export and plantation,320,19200,METAD Agricultural Development plc,2017,June,2017,Caturra,Natural / Dry,7.83,8,7.83,8.17,7.92,8,10,10,10,8,85.75,0.09,0,4,None,7,June,2018,METAD Agricultural Development plc
Arabica,Dane Loraas,Peru,sustainable harvest,,cajamarca,,280,5,Specialty Coffee Association,2013,January,2014,,Washed / Wet,8,8,8,8.08,7.92,7.75,10,10,10,8,85.75,0.1,4,0,Green,6,January,2015,Specialty Coffee Association
Arabica,"Colbran Coffeelands, Ltd.",Papua New Guinea,cqi,1700,eastern highlands province,"Colbran CoffeeLands, Ltd.",7,60,Specialty Coffee Association,2012,October,2012,,Washed / Wet,8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,85.75,0.12,0,0,Bluish-Green,1,October,2013,Specialty Coffee Association
Arabica,Atlantic Specialty Coffee,El Salvador,atlantic specialty coffee,1500,apaneca,Aida Batlle,275,2,Specialty Coffee Association,2013,March,2013,Bourbon,Washed / Wet,7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,85.58,0.1,0,0,Blue-Green,3,March,2014,Specialty Coffee Association
Arabica,LUSSO LAB,El Salvador,lusso coffee lab,1350,"ataco, apaneca - ilamatepec mountain range",Oscar Roberto Murgas Linares,19,1,Specialty Coffee Association,2012,January,2013,Bourbon,Semi-washed / Semi-pulped,7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,85.58,0.11,0,0,None,0,January,2014,Specialty Coffee Association
Arabica,Kona Pacific Farmers Cooperative,United States (Hawaii),kona pacific farmers cooperative,,kona,,8,100,Specialty Coffee Association,2012,April,2012,Hawaiian Kona,Natural / Dry,7.83,8,7.92,7.75,8.08,8,10,10,10,8,85.58,0,0,0,,1,April,2013,Specialty Coffee Association
Arabica,EssenceCoffee,Panama,essence coffee,1680,boquete,Lamastus,100,60,Blossom Valley International,2014,May,2015,Caturra,Natural / Dry,8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83,85.5,0.09,2,0,,2,May,2016,Blossom Valley International
Arabica,EssenceCoffee,Kenya,essence coffee,1900,kirinyaga,,16,60,Blossom Valley International,2014,May,2015,SL28,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,85.5,0.1,0,0,Green,3,May,2016,Blossom Valley International
Arabica,Assefa Belay Coffee Producer,Ethiopia,assefa belay coffee producer,1900,oromia,Assefa Belay Coffee Producer,320,60,METAD Agricultural Development plc,2015,March,2015,Other,Natural / Dry,7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,85.5,0.12,0,0,Green,7,March,2016,METAD Agricultural Development plc
Arabica,Kyagalanyi Ltd,Uganda,kyagalanyi coffee ltd,1600,bulambuli eastern region,Kyagalanyi coffee Ltd,320,60,Uganda Coffee Development Authority,2013,June,2014,SL14,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08,85.5,0.12,0,0,Green,1,June,2015,Uganda Coffee Development Authority
Arabica,Juan Luis Alvarado Romero,Guatemala,exportcafe,1731,huehuetenango,ASOCIACION DE PERMACULTORES DE CUILCO (SANTOS LOPEZ MEJIA),250,69,Asociacion Nacional Del Café,2013,February,2013,Bourbon,Washed / Wet,8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,85.5,0.11,0,0,Green,1,February,2014,Asociacion Nacional Del Café
Arabica,Assefa Belay Coffee Producer,Ethiopia,assefa belay coffee producer,1900,oromia,Assefa Belay Coffee Producer,320,60,METAD Agricultural Development plc,2015,March,2015,,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,8.08,85.42,0.1,0,0,Green,18,March,2016,METAD Agricultural Development plc
Arabica,Great Lakes Coffee Uganda,Uganda,great lakes coffee,1950,kapchorwa,Chesiyo Farmer group,150,60,Uganda Coffee Development Authority,2013,June,2014,SL14,Washed / Wet,8.08,8,7.83,7.67,8,7.83,10,10,10,8,85.42,0.12,0,0,Green,5,June,2015,Uganda Coffee Development Authority
Arabica,Kona Pacific Farmers Cooperative,United States (Hawaii),kona pacific farmers cooperative,,kona,,8,100,Specialty Coffee Association,2012,April,2012,Hawaiian Kona,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,8.25,85.42,0,4,0,,6,April,2013,Specialty Coffee Association
Arabica,NUCOFFEE,Brazil,nucoffee,1250,south of minas,José Vagner Ribeiro Junqueira,5,60,NUCOFFEE,2011,December,2011,Bourbon,Semi-washed / Semi-pulped,8,8,8,7.67,7.75,8,10,10,10,8,85.42,0.11,0,0,Blue-Green,1,December,2012,NUCOFFEE
Arabica,Grounds for Health Admin,El Salvador,,1400,apaneca,J. Hill y Cia SA de CV,2,1,Specialty Coffee Association,2009,May,2010,,,8.08,7.83,7.83,8.08,7.83,7.83,10,10,10,7.92,85.42,0.01,0,0,,0,May,2011,Specialty Coffee Association
Arabica,Yunnan Coffee Exchange,China,yunnan coffee exchange,1700,yunnan,Pu'er City Longke Coffee Co.Ltd,3,60,Yunnan Coffee Exchange,2015,April,2016,Catimor,Natural / Dry,8,8,8,7.83,7.83,7.75,10,10,10,7.92,85.33,0.1,0,0,Green,0,April,2017,Yunnan Coffee Exchange
Arabica,EssenceCoffee,Guatemala,essence coffee,1770,huehuetenango,Arturo Aguirre,36,30,Blossom Valley International,2014,May,2015,Pacamara,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,85.33,0.11,0,0,Green,1,May,2016,Blossom Valley International
Arabica,The Coffee Source Inc.,Costa Rica,the coffee source inc.,1300,west valley,Cafe Altura de San Ramon,250,3,Specialty Coffee Association,2014,May,2014,Caturra,Washed / Wet,7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,85.33,0,0,0,Bluish-Green,0,May,2015,Specialty Coffee Association
Arabica,The Coffee Source Inc.,Costa Rica,the coffee source inc.,1300,san ramon,SEVERAL,250,3,Specialty Coffee Association,2014,May,2014,Caturra,Washed / Wet,8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,85.33,0.1,0,0,Bluish-Green,2,May,2015,Specialty Coffee Association
Arabica,RASHID MOLEDINA & CO. (MSA) LTD.,Kenya,rashid moledina & co. (msa) ltd,1601,central kenya,Kianjogu - Rutuma F.C.S. Ltd.,20,60,Kenya Coffee Traders Association,2012,April,2013,SL34,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,7.92,85.33,0,0,0,Green,2,April,2014,Kenya Coffee Traders Association
Arabica,Ibero Kenya Limited,Kenya,ibero kenya limited,1201,central kenya,Blend from various Producers,300,60,Kenya Coffee Traders Association,2012,March,2013,SL34,Washed / Wet,8,7.92,7.92,8.08,7.83,7.75,10,10,10,7.83,85.33,0,0,0,Green,6,March,2014,Kenya Coffee Traders Association
Arabica,Ethiopia Commodity Exchange,Ethiopia,,,yirgacheffe,"Contact name | Egziabhez Mezgebe, GMT Industrial Plc",360,6,Ethiopia Commodity Exchange,2009,June,2010,,,7.83,7.83,7.92,8.08,7.75,7.83,10,10,10,8.08,85.33,0.05,0,0,,2,June,2011,Ethiopia Commodity Exchange
Arabica,Ethiopia Commodity Exchange,Ethiopia,,,yirgacheffe,Contact name | Hailu Gebre Hiwot,300,6,Ethiopia Commodity Exchange,2009,June,2010,Typica,,7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,8,85.33,0.1,0,0,,3,June,2011,Ethiopia Commodity Exchange
Arabica,Juan Luis Alvarado Romero,Guatemala,"unex guatemala, s.a.",,oriente,MARGARITA AVILA DE NUYENS,250,69,Asociacion Nacional Del Café,2016,April,2016,Bourbon,,8,7.92,7.75,8,7.92,7.83,10,10,10,7.83,85.25,0.1,0,2,Green,2,April,2017,Asociacion Nacional Del Café
Arabica,Exportadora de Cafe Condor S.A,Colombia,exportadora de cafe condor s.a,1550,santander,varios,275,70,Almacafé,2015,April,2015,Caturra,Washed / Wet,8.17,7.92,7.83,8,7.58,7.83,10,10,10,7.92,85.25,0.11,0,0,Green,0,April,2016,Almacafé
Arabica,Compañia Colombiana Agroindustrial S.A,Colombia,ecom cca sa,1550,santander,,250,70,Almacafé,2014,January,2014,Caturra,Natural / Dry,7.58,8.08,7.92,7.83,8,7.92,10,10,10,7.92,85.25,0.12,0,0,Green,2,January,2015,Almacafé
Arabica,"Nomura Trading Co., Ltd.",Indonesia,"nomura trading co., ltd.",1325,lintong,,54,60,Specialty Coffee Association,2012,November,2012,Sumatra Lintong,Semi-washed / Semi-pulped,7.75,7.83,7.67,8,8.08,7.83,10,10,10,8,85.17,0.11,0,0,Green,3,November,2013,Specialty Coffee Association
Arabica,The Coffee Source Inc.,Guatemala,the coffee source inc.,1400,huehuetenango,Coop. Hoja Blanca - Fedecocagua,250,1,Specialty Coffee Association,2012,January,2012,Caturra,Washed / Wet,8.25,8,7.67,7.92,7.75,7.67,10,10,10,7.92,85.17,0,0,0,,7,January,2013,Specialty Coffee Association
Arabica,SEID DAMTEW COFFEE PLANATAION,Ethiopia,seid damtew coffee planation,,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",SEID DAMTEW COFFEE PLANATION,320,19200,METAD Agricultural Development plc,2016,August,2016,Other,Natural / Dry,7.75,8,7.58,8,8,7.92,10,10,10,7.83,85.08,0.11,0,1,Green,8,August,2017,METAD Agricultural Development plc
